namespace,symbol,type,keyword
clojure.core,*,function,:OPERATOR
clojure.core,*',function,:OPERATOR
clojure.core,*1,dynamic,:KEYWORD4
clojure.core,*2,dynamic,:KEYWORD4
clojure.core,*3,dynamic,:KEYWORD4
clojure.core,*agent*,earmuff,:KEYWORD4
clojure.core,*allow-unresolved-vars*,earmuff,(ignored)
clojure.core,*assert*,earmuff,(ignored)
clojure.core,*clojure-version*,dynamic,:KEYWORD4
clojure.core,*command-line-args*,earmuff,:KEYWORD4
clojure.core,*compile-files*,earmuff,:KEYWORD4
clojure.core,*compile-path*,earmuff,:KEYWORD4
clojure.core,*compiler-options*,earmuff,:KEYWORD4
clojure.core,*data-readers*,dynamic,:KEYWORD4
clojure.core,*default-data-reader-fn*,dynamic,:KEYWORD4
clojure.core,*e,dynamic,:KEYWORD4
clojure.core,*err*,earmuff,:KEYWORD4
clojure.core,*file*,earmuff,:KEYWORD4
clojure.core,*flush-on-newline*,earmuff,:KEYWORD4
clojure.core,*fn-loader*,earmuff,(ignored)
clojure.core,*in*,earmuff,:KEYWORD4
clojure.core,*math-context*,earmuff,(ignored)
clojure.core,*ns*,earmuff,:KEYWORD4
clojure.core,*out*,earmuff,:KEYWORD4
clojure.core,*print-dup*,earmuff,:KEYWORD4
clojure.core,*print-length*,dynamic,:KEYWORD4
clojure.core,*print-level*,dynamic,:KEYWORD4
clojure.core,*print-meta*,earmuff,:KEYWORD4
clojure.core,*print-readably*,earmuff,:KEYWORD4
clojure.core,*read-eval*,earmuff,:KEYWORD4
clojure.core,*source-path*,earmuff,(ignored)
clojure.core,*unchecked-math*,earmuff,:KEYWORD4
clojure.core,*use-context-classloader*,earmuff,(ignored)
clojure.core,*verbose-defrecords*,dynamic,(ignored)
clojure.core,*warn-on-reflection*,earmuff,:KEYWORD4
clojure.core,+,function,:OPERATOR
clojure.core,+',function,:OPERATOR
clojure.core,-,function,:OPERATOR
clojure.core,-',function,:OPERATOR
clojure.core,->,macro,:OPERATOR
clojure.core,->>,macro,:OPERATOR
clojure.core,->ArrayChunk,function,[unknown]
clojure.core,->Vec,function,[unknown]
clojure.core,->VecNode,function,[unknown]
clojure.core,->VecSeq,function,[unknown]
clojure.core,-cache-protocol-fn,function,(ignored)
clojure.core,-reset-methods,function,(ignored)
clojure.core,..,macro,:KEYWORD3
clojure.core,/,function,:OPERATOR
clojure.core,<,function,:OPERATOR
clojure.core,<=,function,:OPERATOR
clojure.core,=,function,:OPERATOR
clojure.core,==,function,:OPERATOR
clojure.core,>,function,:OPERATOR
clojure.core,>=,function,:OPERATOR
clojure.core,EMPTY-NODE,unknown,(ignored)
clojure.core,accessor,function,:KEYWORD3
clojure.core,aclone,function,:KEYWORD3
clojure.core,add-classpath,function,(deprecated)
clojure.core,add-watch,function,:KEYWORD3
clojure.core,agent,function,:KEYWORD3
clojure.core,agent-error,function,:KEYWORD3
clojure.core,agent-errors,function,:KEYWORD3
clojure.core,aget,function,:KEYWORD3
clojure.core,alength,function,:KEYWORD3
clojure.core,alias,function,:KEYWORD1
clojure.core,all-ns,function,:KEYWORD1
clojure.core,alter,function,:KEYWORD3
clojure.core,alter-meta!,function,:KEYWORD3
clojure.core,alter-var-root,function,:KEYWORD3
clojure.core,amap,macro,:KEYWORD3
clojure.core,ancestors,function,:KEYWORD3
clojure.core,and,macro,:OPERATOR
clojure.core,apply,function,:KEYWORD3
clojure.core,areduce,macro,:KEYWORD3
clojure.core,array-map,function,:KEYWORD3
clojure.core,as->,macro,:OPERATOR
clojure.core,aset,function,:KEYWORD3
clojure.core,aset-boolean,function,:KEYWORD3
clojure.core,aset-byte,function,:KEYWORD3
clojure.core,aset-char,function,:KEYWORD3
clojure.core,aset-double,function,:KEYWORD3
clojure.core,aset-float,function,:KEYWORD3
clojure.core,aset-int,function,:KEYWORD3
clojure.core,aset-long,function,:KEYWORD3
clojure.core,aset-short,function,:KEYWORD3
clojure.core,assert,macro,:KEYWORD1
clojure.core,assoc,function,:KEYWORD3
clojure.core,assoc!,function,:KEYWORD3
clojure.core,assoc-in,function,:KEYWORD3
clojure.core,associative?,function,:LITERAL3
clojure.core,atom,function,:KEYWORD3
clojure.core,await,function,:KEYWORD3
clojure.core,await-for,function,:KEYWORD3
clojure.core,await1,function,(ignored)
clojure.core,bases,function,:KEYWORD3
clojure.core,bean,function,:KEYWORD3
clojure.core,bigdec,function,:KEYWORD3
clojure.core,bigint,function,:KEYWORD3
clojure.core,biginteger,function,:KEYWORD3
clojure.core,binding,macro,:KEYWORD1
clojure.core,bit-and,function,:OPERATOR
clojure.core,bit-and-not,function,:OPERATOR
clojure.core,bit-clear,function,:OPERATOR
clojure.core,bit-flip,function,:OPERATOR
clojure.core,bit-not,function,:OPERATOR
clojure.core,bit-or,function,:OPERATOR
clojure.core,bit-set,function,:OPERATOR
clojure.core,bit-shift-left,function,:OPERATOR
clojure.core,bit-shift-right,function,:OPERATOR
clojure.core,bit-test,function,:OPERATOR
clojure.core,bit-xor,function,:OPERATOR
clojure.core,boolean,function,:KEYWORD3
clojure.core,boolean-array,function,:KEYWORD3
clojure.core,booleans,function,:KEYWORD3
clojure.core,bound-fn,macro,:KEYWORD1
clojure.core,bound-fn*,function,:KEYWORD1
clojure.core,bound?,function,:LITERAL3
clojure.core,butlast,function,:KEYWORD3
clojure.core,byte,function,:KEYWORD3
clojure.core,byte-array,function,:KEYWORD3
clojure.core,bytes,function,:KEYWORD3
clojure.core,case,macro,:KEYWORD2
clojure.core,cast,function,:KEYWORD3
clojure.core,char,function,:KEYWORD3
clojure.core,char-array,function,:KEYWORD3
clojure.core,char-escape-string,unknown,:KEYWORD3
clojure.core,char-name-string,unknown,:KEYWORD3
clojure.core,char?,function,:LITERAL3
clojure.core,chars,function,:KEYWORD3
clojure.core,chunk,function,(ignored)
clojure.core,chunk-append,function,(ignored)
clojure.core,chunk-buffer,function,(ignored)
clojure.core,chunk-cons,function,(ignored)
clojure.core,chunk-first,function,(ignored)
clojure.core,chunk-next,function,(ignored)
clojure.core,chunk-rest,function,(ignored)
clojure.core,chunked-seq?,function,(ignored)
clojure.core,class,function,:KEYWORD3
clojure.core,class?,function,:LITERAL3
clojure.core,clear-agent-errors,function,:KEYWORD3
clojure.core,clojure-version,function,:KEYWORD3
clojure.core,coll?,function,(ignored)
clojure.core,comment,macro,:KEYWORD1
clojure.core,commute,function,:KEYWORD3
clojure.core,comp,function,:KEYWORD3
clojure.core,comparator,function,:KEYWORD3
clojure.core,compare,function,:KEYWORD3
clojure.core,compare-and-set!,function,:KEYWORD3
clojure.core,compile,function,:KEYWORD1
clojure.core,complement,function,:KEYWORD3
clojure.core,concat,function,:KEYWORD3
clojure.core,cond,macro,:KEYWORD2
clojure.core,cond->,macro,:KEYWORD2
clojure.core,cond->>,macro,:KEYWORD2
clojure.core,condp,macro,:KEYWORD2
clojure.core,conj,function,:KEYWORD3
clojure.core,conj!,function,:KEYWORD3
clojure.core,cons,function,:KEYWORD3
clojure.core,constantly,function,:KEYWORD3
clojure.core,construct-proxy,function,:KEYWORD3
clojure.core,contains?,function,:LITERAL3
clojure.core,count,function,:KEYWORD3
clojure.core,counted?,function,:LITERAL3
clojure.core,create-ns,function,:KEYWORD1
clojure.core,create-struct,function,:KEYWORD3
clojure.core,cycle,function,:KEYWORD3
clojure.core,dec,function,:OPERATOR
clojure.core,dec',function,:OPERATOR
clojure.core,decimal?,function,:LITERAL3
clojure.core,declare,macro,:KEYWORD1
clojure.core,default-data-readers,unknown,:KEYWORD3
clojure.core,definline,macro,:KEYWORD1
clojure.core,definterface,macro,:KEYWORD1
clojure.core,defmacro,macro,:KEYWORD1
clojure.core,defmethod,macro,:KEYWORD1
clojure.core,defmulti,macro,:KEYWORD1
clojure.core,defn,macro,:KEYWORD1
clojure.core,defn-,macro,:KEYWORD1
clojure.core,defonce,macro,:KEYWORD1
clojure.core,defprotocol,macro,:KEYWORD1
clojure.core,defrecord,macro,:KEYWORD1
clojure.core,defstruct,macro,:KEYWORD1
clojure.core,deftype,macro,:KEYWORD1
clojure.core,delay,macro,:KEYWORD3
clojure.core,delay?,function,:LITERAL3
clojure.core,deliver,function,:KEYWORD3
clojure.core,denominator,function,:KEYWORD3
clojure.core,deref,function,:KEYWORD3
clojure.core,derive,function,:KEYWORD3
clojure.core,descendants,function,:KEYWORD3
clojure.core,destructure,function,:KEYWORD2
clojure.core,disj,function,:KEYWORD3
clojure.core,disj!,function,:KEYWORD3
clojure.core,dissoc,function,:KEYWORD3
clojure.core,dissoc!,function,:KEYWORD3
clojure.core,distinct,function,:KEYWORD3
clojure.core,distinct?,function,:LITERAL3
clojure.core,doall,function,:KEYWORD2
clojure.core,dorun,function,:KEYWORD2
clojure.core,doseq,macro,:KEYWORD2
clojure.core,dosync,macro,:KEYWORD2
clojure.core,dotimes,macro,:KEYWORD2
clojure.core,doto,macro,:KEYWORD2
clojure.core,double,function,:KEYWORD3
clojure.core,double-array,function,:KEYWORD3
clojure.core,doubles,function,:KEYWORD3
clojure.core,drop,function,:KEYWORD3
clojure.core,drop-last,function,:KEYWORD3
clojure.core,drop-while,function,:KEYWORD3
clojure.core,empty,function,:KEYWORD3
clojure.core,empty?,function,:LITERAL3
clojure.core,ensure,function,:KEYWORD3
clojure.core,enumeration-seq,function,:KEYWORD3
clojure.core,error-handler,function,:KEYWORD3
clojure.core,error-mode,function,:KEYWORD3
clojure.core,eval,function,:KEYWORD3
clojure.core,even?,function,:LITERAL3
clojure.core,every-pred,function,:KEYWORD3
clojure.core,every?,function,:LITERAL3
clojure.core,ex-data,function,:KEYWORD3
clojure.core,ex-info,function,:KEYWORD3
clojure.core,extend,function,:KEYWORD1
clojure.core,extend-protocol,macro,:KEYWORD1
clojure.core,extend-type,macro,:KEYWORD1
clojure.core,extenders,function,:KEYWORD1
clojure.core,extends?,function,:LITERAL3
clojure.core,false?,function,:LITERAL3
clojure.core,ffirst,function,:KEYWORD3
clojure.core,file-seq,function,:KEYWORD3
clojure.core,filter,function,:KEYWORD3
clojure.core,filterv,function,:KEYWORD3
clojure.core,find,function,:KEYWORD3
clojure.core,find-keyword,function,:KEYWORD1
clojure.core,find-ns,function,:KEYWORD1
clojure.core,find-protocol-impl,function,(ignored)
clojure.core,find-protocol-method,function,(ignored)
clojure.core,find-var,function,:KEYWORD3
clojure.core,first,function,:KEYWORD3
clojure.core,flatten,function,:KEYWORD3
clojure.core,float,function,:KEYWORD3
clojure.core,float-array,function,:KEYWORD3
clojure.core,float?,function,:LITERAL3
clojure.core,floats,function,:KEYWORD3
clojure.core,flush,function,:KEYWORD3
clojure.core,fn,macro,:KEYWORD1
clojure.core,fn?,function,:LITERAL3
clojure.core,fnext,function,:KEYWORD3
clojure.core,fnil,function,:KEYWORD3
clojure.core,for,macro,:KEYWORD2
clojure.core,force,function,:KEYWORD3
clojure.core,format,function,:KEYWORD3
clojure.core,frequencies,function,:KEYWORD3
clojure.core,future,macro,:KEYWORD3
clojure.core,future-call,function,:KEYWORD3
clojure.core,future-cancel,function,:KEYWORD3
clojure.core,future-cancelled?,function,:LITERAL3
clojure.core,future-done?,function,:LITERAL3
clojure.core,future?,function,:LITERAL3
clojure.core,gen-class,macro,:KEYWORD1
clojure.core,gen-interface,macro,:KEYWORD1
clojure.core,gensym,function,:KEYWORD3
clojure.core,get,function,:KEYWORD3
clojure.core,get-in,function,:KEYWORD3
clojure.core,get-method,function,:KEYWORD1
clojure.core,get-proxy-class,function,:KEYWORD3
clojure.core,get-thread-bindings,function,:KEYWORD3
clojure.core,get-validator,function,:KEYWORD3
clojure.core,group-by,function,:KEYWORD3
clojure.core,hash,function,:KEYWORD3
clojure.core,hash-combine,function,:KEYWORD3
clojure.core,hash-map,function,:KEYWORD3
clojure.core,hash-ordered-coll,function,:KEYWORD3
clojure.core,hash-set,function,:KEYWORD3
clojure.core,hash-unordered-coll,function,:KEYWORD3
clojure.core,identical?,function,:LITERAL3
clojure.core,identity,function,:KEYWORD3
clojure.core,if-let,macro,:KEYWORD2
clojure.core,if-not,macro,:KEYWORD2
clojure.core,if-some,macro,:KEYWORD2
clojure.core,ifn?,function,:LITERAL3
clojure.core,import,macro,:KEYWORD1
clojure.core,in-ns,unknown,:KEYWORD1
clojure.core,inc,function,:OPERATOR
clojure.core,inc',function,:OPERATOR
clojure.core,init-proxy,function,:KEYWORD3
clojure.core,instance?,function,:LITERAL3
clojure.core,int,function,:KEYWORD3
clojure.core,int-array,function,:KEYWORD3
clojure.core,integer?,function,:LITERAL3
clojure.core,interleave,function,:KEYWORD3
clojure.core,intern,function,:KEYWORD1
clojure.core,interpose,function,:KEYWORD3
clojure.core,into,function,:KEYWORD3
clojure.core,into-array,function,:KEYWORD3
clojure.core,ints,function,:KEYWORD3
clojure.core,io!,macro,:KEYWORD3
clojure.core,isa?,function,:LITERAL3
clojure.core,iterate,function,:KEYWORD3
clojure.core,iterator-seq,function,:KEYWORD3
clojure.core,juxt,function,:KEYWORD3
clojure.core,keep,function,:KEYWORD3
clojure.core,keep-indexed,function,:KEYWORD3
clojure.core,key,function,:KEYWORD3
clojure.core,keys,function,:KEYWORD3
clojure.core,keyword,function,:KEYWORD3
clojure.core,keyword?,function,:LITERAL3
clojure.core,last,function,:KEYWORD3
clojure.core,lazy-cat,macro,:KEYWORD3
clojure.core,lazy-seq,macro,:KEYWORD3
clojure.core,let,macro,:KEYWORD2
clojure.core,letfn,macro,:KEYWORD2
clojure.core,line-seq,function,:KEYWORD3
clojure.core,list,function,:KEYWORD3
clojure.core,list*,function,:KEYWORD3
clojure.core,list?,function,:LITERAL3
clojure.core,load,function,:KEYWORD3
clojure.core,load-file,unknown,:KEYWORD3
clojure.core,load-reader,function,:KEYWORD3
clojure.core,load-string,function,:KEYWORD3
clojure.core,loaded-libs,function,:KEYWORD1
clojure.core,locking,macro,:KEYWORD3
clojure.core,long,function,:KEYWORD3
clojure.core,long-array,function,:KEYWORD3
clojure.core,longs,function,:KEYWORD3
clojure.core,loop,macro,:KEYWORD2
clojure.core,macroexpand,function,:KEYWORD3
clojure.core,macroexpand-1,function,:KEYWORD3
clojure.core,make-array,function,:KEYWORD3
clojure.core,make-hierarchy,function,:KEYWORD3
clojure.core,map,function,:KEYWORD3
clojure.core,map-indexed,function,:KEYWORD3
clojure.core,map?,function,:LITERAL3
clojure.core,mapcat,function,:KEYWORD3
clojure.core,mapv,function,:KEYWORD3
clojure.core,max,function,:KEYWORD3
clojure.core,max-key,function,:KEYWORD3
clojure.core,memfn,macro,:KEYWORD3
clojure.core,memoize,function,:KEYWORD3
clojure.core,merge,function,:KEYWORD3
clojure.core,merge-with,function,:KEYWORD3
clojure.core,meta,function,:KEYWORD3
clojure.core,method-sig,function,(ignored)
clojure.core,methods,function,:KEYWORD1
clojure.core,min,function,:KEYWORD3
clojure.core,min-key,function,:KEYWORD3
clojure.core,mix-collection-hash,function,:KEYWORD3
clojure.core,mod,function,:OPERATOR
clojure.core,munge,function,:KEYWORD3
clojure.core,name,function,:KEYWORD3
clojure.core,namespace,function,:KEYWORD3
clojure.core,namespace-munge,function,:KEYWORD3
clojure.core,neg?,function,:LITERAL3
clojure.core,newline,function,:KEYWORD3
clojure.core,next,function,:FUNCTION
clojure.core,nfirst,function,:KEYWORD3
clojure.core,nil?,function,:LITERAL3
clojure.core,nnext,function,:KEYWORD3
clojure.core,not,function,:OPERATOR
clojure.core,not-any?,function,:LITERAL3
clojure.core,not-empty,function,:LITERAL3
clojure.core,not-every?,function,:LITERAL3
clojure.core,not=,function,:OPERATOR
clojure.core,ns,macro,:KEYWORD1
clojure.core,ns-aliases,function,:KEYWORD1
clojure.core,ns-imports,function,:KEYWORD1
clojure.core,ns-interns,function,:KEYWORD1
clojure.core,ns-map,function,:KEYWORD1
clojure.core,ns-name,function,:KEYWORD1
clojure.core,ns-publics,function,:KEYWORD1
clojure.core,ns-refers,function,:KEYWORD1
clojure.core,ns-resolve,function,:KEYWORD1
clojure.core,ns-unalias,function,:KEYWORD1
clojure.core,ns-unmap,function,:KEYWORD1
clojure.core,nth,function,:KEYWORD3
clojure.core,nthnext,function,:KEYWORD3
clojure.core,nthrest,function,:KEYWORD3
clojure.core,num,function,:KEYWORD3
clojure.core,number?,function,:LITERAL3
clojure.core,numerator,function,:KEYWORD3
clojure.core,object-array,function,:KEYWORD3
clojure.core,odd?,function,:LITERAL3
clojure.core,or,macro,:OPERATOR
clojure.core,parents,function,:KEYWORD3
clojure.core,partial,function,:KEYWORD1
clojure.core,partition,function,:KEYWORD3
clojure.core,partition-all,function,:KEYWORD3
clojure.core,partition-by,function,:KEYWORD3
clojure.core,pcalls,function,:KEYWORD3
clojure.core,peek,function,:KEYWORD3
clojure.core,persistent!,function,:KEYWORD3
clojure.core,pmap,function,:KEYWORD3
clojure.core,pop,function,:KEYWORD3
clojure.core,pop!,function,:KEYWORD3
clojure.core,pop-thread-bindings,function,(ignored)
clojure.core,pos?,function,:LITERAL3
clojure.core,pr,function,:KEYWORD3
clojure.core,pr-str,function,:KEYWORD3
clojure.core,prefer-method,function,:KEYWORD1
clojure.core,prefers,function,:KEYWORD1
clojure.core,primitives-classnames,unknown,:KEYWORD3
clojure.core,print,function,:KEYWORD3
clojure.core,print-ctor,function,(ignored)
clojure.core,print-dup,unknown,:KEYWORD3
clojure.core,print-method,unknown,(ignored)
clojure.core,print-simple,function,(ignored)
clojure.core,print-str,function,:KEYWORD3
clojure.core,printf,function,:KEYWORD3
clojure.core,println,function,:KEYWORD3
clojure.core,println-str,function,:KEYWORD3
clojure.core,prn,function,:KEYWORD3
clojure.core,prn-str,function,:KEYWORD3
clojure.core,promise,function,:KEYWORD3
clojure.core,proxy,macro,:KEYWORD3
clojure.core,proxy-call-with-super,function,:KEYWORD3
clojure.core,proxy-mappings,function,:KEYWORD3
clojure.core,proxy-name,function,:KEYWORD3
clojure.core,proxy-super,macro,:KEYWORD3
clojure.core,push-thread-bindings,function,(ignored)
clojure.core,pvalues,macro,:KEYWORD3
clojure.core,quot,function,:LITERAL3
clojure.core,rand,function,:KEYWORD3
clojure.core,rand-int,function,:KEYWORD3
clojure.core,rand-nth,function,:KEYWORD3
clojure.core,range,function,:KEYWORD3
clojure.core,ratio?,function,:LITERAL3
clojure.core,rational?,function,:LITERAL3
clojure.core,rationalize,function,:KEYWORD3
clojure.core,re-find,function,:KEYWORD3
clojure.core,re-groups,function,:KEYWORD3
clojure.core,re-matcher,function,:KEYWORD3
clojure.core,re-matches,function,:KEYWORD3
clojure.core,re-pattern,function,:KEYWORD3
clojure.core,re-seq,function,:KEYWORD3
clojure.core,read,function,:KEYWORD3
clojure.core,read-line,function,:KEYWORD3
clojure.core,read-string,function,:KEYWORD3
clojure.core,realized?,function,:LITERAL3
clojure.core,record?,function,:LITERAL3
clojure.core,reduce,function,:KEYWORD3
clojure.core,reduce-kv,function,:KEYWORD3
clojure.core,reduced,function,:KEYWORD3
clojure.core,reduced?,function,:LITERAL3
